"Provincia","Municipio","Direccion","RazonSocial","PuntosToma","NivelTension","Distribuidora"
"MADRID","Móstoles","AVENIDA CÁMARA DE LA INDUSTRIA  ,7-1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GIRONA","Lloret de Mar","AVENIDA ALEGRIES ,89","CAN TAULINA SOCIEDAD LIMITADA","2","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Granollers","CALLE REC ,28","ESTABANELL Y PAHISA MERCATOR, S.A.","2","230","ESTABANELL Y PAHISA ENERGIA, S.A."
"BARCELONA","Granollers","CALLE REC ,28","ESTABANELL Y PAHISA MERCATOR, S.A.","2","230","ESTABANELL Y PAHISA ENERGIA, S.A."
"BIZKAIA","Zalla","CALLE LA PERENAL ,1","GLOBAL EFFICIENCY ARANGUREN SL","2","30","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Zalla","BARRIO EL BAULAR  ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Estella/Lizarra","CALLE CARLOS VII ,22","IBERDROLA CLIENTES SOCIEDAD ANONIMA","3","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ZARAGOZA","Épila","CARRETERA A-2 ,KM 285","GAMMA SOLUTIONS SL","1","15000","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Hospitalet de Llobregat (L')","CALLE FRANCESC MACIA I LLUS ,S/N","REGESA APARCAMENTS I SERVEIS, S.A.","2","230400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Hospitalet de Llobregat (L')","CALLE CIENCIES ,77","DRIVETHECITY, S.L.","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"CÁCERES","Jarilla","CARRETERA NACIONAL 630 ,449","SFERAONE SOLUTIONS Y SERVICES SL","1","13200","ELECTRICA DEL OESTE DISTRIBUCION, S.L.U."
"BARCELONA","Manresa","CALLE AGUSTI COLL ,18","IBERDROLA CLIENTES SOCIEDAD ANONIMA","3","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"SORIA","Medinaceli","AUTOVIA A-2 ,154","GAMMA SOLUTIONS SL","1","400","UNION FENOSA DISTRIBUCION, S.A."
"LEÓN","Ponferrada","CARRETERA FABERO, 0086 SE RV IC ,86","IBERDROLA CLIENTES SOCIEDAD ANONIMA","2","230","UNION FENOSA DISTRIBUCION, S.A."
"MADRID","Pozuelo de Alarcón","CALLE SAN JUAN DE LA CRUZ ,2","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Pozuelo de Alarcón","CALLE EXTREMADURA ,3","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","3","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"VALENCIA/VALÈNCIA","Eliana (l')","CALLE LA PUEBLA LARGA ,18","IBERDROLA CLIENTES SOCIEDAD ANONIMA","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ALICANTE/ALACANT","Sant Joan d'Alacant","CARRETERA DE VALENCIA ,1","ABRIL, S.A.U.","1","848494","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"LLEIDA","Lleida","CALLE DE LA VARIANT ,S/N","TESLA MOTORS NETHERLANDS BV","6","480","ENDESA DISTRIBUCION ELECTRICA, S.L."
"PALENCIA","Palencia","AVENIDA DE ASTURIAS ,38","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BARCELONA","Mataró","PLAZA SANTA ANNA ,S/N","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"TARRAGONA","Reus","CALLE ARGENTERA ,25","ETECNIC MOVILIDAD ELECTRICA SRL","2","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"CÁCERES","Navalmoral de la Mata","CARRETERA A-5 ,182","SFERAONE SOLUTIONS Y SERVICES SL","1","20000","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Iza","AUTOPISTA A15 - ZUASTI ,102","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"VALENCIA/VALÈNCIA","Godella","AVENIDA ALMENDROS LOS ,28","ELOENERGY MOBILITY SOCIEDAD LIMITADA","1","4","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"GRANADA","Moraleda de Zafayona","POLIGONO 5 ,PARCELA 19","TESLA SPAIN SLU","10","480","DISTRIBUIDORA ELECTRICA LOS BERMEJALES, S.A."
"LLEIDA","Montellà i Martinet","CALLE CAMÍ DE MONTELLÀ CRUCE CON LA CALLE DEL SEGRE ,S/N","HIDROELECTRICA DEL VALIRA SL","2","400","PRODUCTORA ELECTRICA URGELENSE, S.A. (PEUSA)"
"BADAJOZ","Valverde de Leganés","PLAZA LLANO DEL LAGAR ,8","SFERAONE SOLUTIONS Y SERVICES SL","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"TARRAGONA","Tarragona","AUTOVIA T-11 ","PROMOCIONES BLAUMAR, S.A.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BURGOS","Gumiel de Izán","CARRETERA A-1 ,168","SFERAONE SOLUTIONS Y SERVICES SL","1","20000","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Valdemoro","CALLE CHAMBERI DE ,16, NAVE 21","ARMARIOS DE DISTRIBUCION Y CONTROL SL","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Valdemoro","CALLE DALÍ ,9 PORTAL 9-42","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BARCELONA","Pineda de Mar","CALLE CARLES I ,10","ESSER PINEDA SL","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"VALLADOLID","Tordesillas","URBANIZACIÓN MONTICO ,NDUP-A","TESLA SPAIN SLU","8","480","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"VALENCIA/VALÈNCIA","Museros","CARRETERA BARCELONA ,9,800","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BARCELONA","Ripollet","CALLE PIZARRO ,41","ELECTRIC PARKING SOLUTIONS S.L.","1","40020130","ENDESA DISTRIBUCION ELECTRICA, S.L."
"SEGOVIA","San Ildefonso","CALLE PUERTAS NUEVAS  ,1","EMPRESA DE SUMINISTROS ENERGETICOS DEL NOROESTE SL","1","400","UNION FENOSA DISTRIBUCION, S.A."
"BARCELONA","Rubí","POLIGONO CAN PI VILAROC ,14","IBERDROLA CLIENTES SOCIEDAD ANONIMA","2","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"VALENCIA/VALÈNCIA","Ontinyent","AVENIDA DEL TEXTEL ,67","FENIE ENERGIA SA","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"VALLADOLID","Valladolid","CARRETERA MADRID ,46","GESTIÓN INTELIGENTE DE CARGAS, S.L.","1","400","ANSELMO LEON DISTRIBUCION, S.L."
"VALLADOLID","Valladolid","AVENIDA EURO ,7","CENTROLID SA","8","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"VALLADOLID","Valladolid","CAMINO VIEJO DE SIMANCAS ,46","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BARCELONA","Sabadell","AVENIDA CONCORDIA ,1","IBERDROLA CLIENTES SOCIEDAD ANONIMA","3","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Sabadell","CALLE COLOM ,2","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"VALENCIA/VALÈNCIA","Paterna","AVENIDA LEONARDO DA VINCI ,S/N","TESLA MOTORS NETHERLANDS BV","4","480","Iberdrola Distribución"
"VALENCIA/VALÈNCIA","Paterna","CARRETERA VALENCIA ADEMUZ ,7","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"SEGOVIA","Segovia","POLIGONO EL CERRO, CARRETERA MADRID  ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","UNION FENOSA DISTRIBUCION, S.A."
"CÁCERES","Valdefuentes","PLAZUELA DEL CONVENTO ,S/N","SFERAONE SOLUTIONS Y SERVICES SL","1","230","ELECTRICA DEL OESTE DISTRIBUCION, S.L.U."
"NAVARRA","Pamplona/Iruña","CALLE BLAS DE LA SERNA ,6","Acciona Eficiencia Energética, S.L.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Pamplona/Iruña","AVENIDA SAN IGNACIO / SAN IGNAZIO ETORBIDEA ,10","Acciona Eficiencia Energética, S.L.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Pamplona/Iruña","CALLE ARCADIO MARÍA LARRAONA ,1","IBERDROLA SERVICIOS ENERGÉTICOS, S.A.U.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Pamplona/Iruña","CALLE ESQUIROZ ,10","IBERDROLA SERVICIOS ENERGÉTICOS, S.A.U.","2","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Pamplona/Iruña","AVENIDA SAN IGNACIO ,10BIS BAJO","IBERDROLA SERVICIOS ENERGÉTICOS, S.A.U.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Pamplona/Iruña","AVENIDA JUAN PABLO II ,4 BAJO 2","IBERDROLA SERVICIOS ENERGÉTICOS, S.A.U.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Pamplona/Iruña","CARRETERA SAN SEBASTIAN ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Pamplona/Iruña","PLAZA DEL CASTILLO ,S/N","SABA APARCAMIENTOS S.A.","4","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"LLEIDA","Seu d'Urgell (La)","PASEO PASEO DE JOAN BRUDIEU CRUCE CON EL PASAJE ALSINA ,S/N","HIDROELECTRICA DEL VALIRA SL","2","400","PRODUCTORA ELECTRICA URGELENSE, S.A. (PEUSA)"
"LLEIDA","Seu d'Urgell (La)","CALLE CALLE DEL BISBE BENLLOCH CRUCE CON CAMÍ CLOS ,S/N","HIDROELECTRICA DEL VALIRA SL","2","400","PRODUCTORA ELECTRICA URGELENSE, S.A. (PEUSA)"
"CUENCA","Tébar","CARRETERA A3 ,186","GAMMA SOLUTIONS SL","1","20000","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BARCELONA","Sant Cugat del Vallès","CAMINO CAN CAMPS ,11","TESLA SPAIN SLU","12","480","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BURGOS","Medina de Pomar","CALLE MERINDAD DE MONTIJA  EN  MEDINA DE POMAR ,11","ADURIZ ENERGIA SL","1","400","ADURIZ DISTRIBUCION SLU"
"VALENCIA/VALÈNCIA","Riba-roja de Túria","CARRETERA REVA ,2","ESTACION DE SERVICIO ALZ S.L.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BURGOS","Milagros","AUTOVIA A1 ,53","SFERAONE SOLUTIONS Y SERVICES SL","1","20000","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Tudela","CARRETERA ZARAGOZA ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"NAVARRA","Tudela","CARRETERA CORELLA ,28","IBERDROLA CLIENTES SOCIEDAD ANONIMA","3","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
